gram,counts
sight,343
enter,343
begins,342
curfew,341
packed,341
praises,341
concerned,340
warrior,340
jim_jordan,340
shutdowns,339
ger,339
250,338
ignored,338
scott,338
speaking,337
nfl,337
antivirals,337
arkansas,337
028,336
rice,336
711,336
warehouses,335
ben,335
restricted,335
prevents,333
cell,333
cottonfacemask,333
journals,332
approaches,332
license,332
imposed,332
stunt,332
raced,332
camp,331
beginning,331
hackthepandemic,330
sent,330
recognition,330
worth,330
linked,330
officers,329
maskssavelives,329
flag,329
carson,327
attorney,327
severity,326
answered,326
there,325
significantly,325
powered,325
regrets,324
dose,323
houston,323
berlin,323
website,323
rock,322
dougducey,322
why,321
facecovering,321
explained,321
vents,321
combination,321
review,321
color,321
daldesignnz,320
seconds,320
yuvstrong12,320
ineffective,320
2nd,320
neg,320
spoiler,320
ron,320
source,319
scare,318
indonesia,317
51,317
straight,317
member,316
disturbed,316
confused,316
building,315
facilities,315
prove,315
sales,315
what,314
minnesota,314
consulted,313
confirmation,313
harvard,313
visited,312
cents,312
wake,311
student,310
scotus,310
cops,309
kayleigh,309
shame,309
hero,308
rip,308
inept,308
pope,307
powerful,307
clearly,307
breathable,307
birx,306
answers,305
lone,305
weak,305
clothfacemask,305
ranger,304
doubled,304
battery,304
hate,304
delta,303
fined,303
jeweler,303
driving,302
ios,302
id,302
evers,301
bosses,301
recovering,301
affects,301
machines,301
capacity,300
smaller,299
ceo,299
detained,299
overreach,298
coronavirusindia,298
piece,298
coughs,297
misinformation,297
acosta,297
swab,296
unlock,296
maskforcesupporting,296
stupidity,296
assault,295
opposed,295
covid19nsw,295
govkristinoem,294
disney,294
lg,294
valve,294
erectile,293
donaldtrump,293
birthday,293
isolate,292
ga,292
availability,292
letitiamontana,292
aide,292
extend,291
commit,290
failing,290
followed,290
favorite,290
breakingnews,289
criticism,289
solar,289
published,288
masksforsale,288
recommendation,288
threats,288
feinstein,287
speakerpelosi,286
name,286
conference,286
slams,285
jeremy,285
club,285
complete,285
kawaii,285
produce,284
tonight,284
coronaalert,284
fed,284
savelives,284
technology,283
sack,283
staffers,282
politically,282
17,282
maskforcebe,281
anna,281
november,281
wide,281
doori,280
starbucks,280
bet,280
fundraiser,280
grade,280
plea,279
growth,279
78,279
cutemask,279
deniers,279
pharmacy,279
retail,279
govmikedewine,279
board,278
reverses,278
explain,278
retweet,278
ccp,277
track,277
pleated,277
ki,277
steps,276
flying,276
sticks,276
surfaces,275
term,274
coz,274
challenge,274
wegmans,274
18,274
baby,274
quickly,273
victim,273
uv,273
majority,273
dysfunction,272
fourth,272
machine,271
ce,271
laws,271
murder,271
farmer,271
carry,270
racism,269
photos,269
retailers,269
reduced,269
exempt,269
medically,268
road,268
compared,268
coverage,267
ref,266
camdenwatch,266
boss,266
threatening,266
jacksonville,266
donations,265
howard,265
turner,265
reynolds,264
er,264
district,263
recovered,263
pollution,262
kim,262
precaution,262
cross,262
gaj,261
cheney,261
or,261
blacklivesmatter,260
kmt,260
footage,260
madrid,260
ventilation,259
trip,259
stage,259
aubrey_huff,259
practically,259
governments,259
miller,259
field,259
prolonged,258
jair,258
claim,258
worldmaskweek,258
kevin,257
fl,257
incorrectly,257
ear,257
sympathy,257
leads,256
wang,256
kelly,256
veterans,256
ward,256
battelle,256
levels,255
tv,255
5m,255
govabbott,255
massive,254
chin,254
defends,254
gotten,254
reach,254
fails,254
vital,254
lung,253
contagion,253
passed,253
learned,253
up,252
moving,252
presssec,252
fury,252
ag,252
mayors,252
180,252
listened,251
controlled,251
advance,251
five,251
501,251
beautiful,250
cleaned,250
directly,250
riot,250
outlook,250
qianyin,249
forbids,249
charge,248
steampunk,248
sound,248
elderly,248
45,248
bosnia,248
suffering,248
stance,247
doses,247
yeah,247
availed,246
virologist,246
advisor,246
travels,246
cut,245
interview,244
texans,244
forecast,244
tube,244
backlash,244
maskforcewearing,244
acute,243
reindeer,243
latin,243
shopper,243
protester,243
halt,243
destroyed,243
math,243
steadfastly,243
spiking,242
emerges,242
epidemiologists,242
speak,242
problems,241
manufacturing,241
gaiter,240
weather,240
underlying,240
diseases,240
stayhomesavelives,240
plz,240
voluntary,240
vomit,240
dec,240
mailonline,239
scam,239
purifier,239
shapes,239
randomized,239
pink,239
perhaps,239
temperature,239
current,239
map,238
instituting,238
anymore,238
facing,237
curve,237
extends,237
spit,237
poll,236
ivankatrump,236
realmenwearmasks,236
hole,236
hrs,236
33,236
spent,235
410,235
steel,235
findyourthing,235
stephanopoulos,234
publicly,234
eve,234
dems,234
praying,234
flights,233
capital,233
nursing,233
ming,233
pack,232
senators,232
cruise,232
saliva,232
22,231
phase,231
n95masks,230
btcmask,230
speedy,229
noel,228
broke,228
hermancain,228
strong,228
crazy,228
predicts,228
firm,228
okay,228
wipes,227
ed,227
likes,227
officially,227
deaf,226
updated,226
setting,226
fewer,226
keeps,226
trumpcovid,225
exactly,225
chicago,225
narendra,224
drive,224
attacks,224
thrown,224
seat,224
roughly,223
moron,223
word,223
bite,223
nyt,223
dons,223
drug,223
exemption,223
freedoms,222
lets,222
deanna4congress,222
scant,221
bit,221
covid19uk,221
maskchallenge,221
rises,221
finger,220
lieutenant,220
